Species_ID,Subclass,Order,Superfamily,Family,Biovolume_mm3,Genus,Species,B0 Order,tiering,motility,feeding,ecospace
Inc49,,,,Incerte cedis,164.11,Incerte cedis,Incerte cedis sp. 4,, , , , 
Inc5,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 10,, , , , 
Inc50,,,,Incerte cedis,164.11,Incerte cedis,Incerte cedis sp. 334,, , , , 
Inc6,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 64,, , , , 
Inc7,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 72,, , , , 
Inc9,,,,Incertae cedis,164.11,Incertae cedis,Incertae cedis sp. 95,, , , , 
Kel10,Heterodonta,Veneroida,Glossoidea,Kelliellidae,6.69919027,Kelliella ,Kelliella elongata,0.42,3,4,1,341
Kel11,Heterodonta,Veneroida,Glossoidea,Kelliellidae,28.86153404,Kelliella ,Kelliella abyssicola,0.42,3,4,1,341
Kel12,Heterodonta,Veneroida,Glossoidea,Kelliellidae,20.98271178,Kelliella,Kelliella tenina,0.42,3,4,1,341
Kel13,Heterodonta,Veneroida,Glossoidea,Kelliellidae,2266.433324,Kelliella,Kelliella adamsi,0.42,3,4,1,341
Kel14,Heterodonta,Veneroida,Glossoidea,Kelliellidae,62.16103933,Kelliella ,Kelliella sp. 236,0.42,3,4,1,341
Kel15,Heterodonta,Veneroida,Glossoidea,Kelliellidae,62.16103933,Kelliella ,Kelliella sp. 245,0.42,3,4,1,341
Kel16,Heterodonta,Veneroida,Glossoidea,Kelliellidae,62.16103933,Kelliella ,Kelliella sp. 323,0.42,3,4,1,341
Kel17,Heterodonta,Veneroida,Glossoidea,Kelliellidae,62.16103933,Kelliella ,Kelliella sp.,0.42,3,4,1,341
Kel3,Heterodonta,Veneroida,Glossoidea,Kelliellidae,2904,Kelliella ,Kelliella atlantica,0.42,3,4,1,341
Kel4,Heterodonta,Veneroida,Glossoidea,Kelliellidae,2.920497566,Kelliella,Kelliella biscayensis,0.42,3,4,1,341
Kel6,Heterodonta,Veneroida,Glossoidea,Kelliellidae,22.88150504,Kelliella,Kelliella miliaris,0.42,3,4,1,341
Kel7,Heterodonta,Veneroida,Glossoidea,Kelliellidae,114.5182475,Kelliella,Kelliella nitida,0.42,3,4,1,341
Kel9,Heterodonta,Veneroida,Glossoidea,Kelliellidae,4.85254905,Kelliella ,Kelliella concentrica,0.42,3,4,1,341
Lam1,Protobranchia,Nuculoida,Nuculoidea,Lametilidae,9.945483,Phaseolus,Phaseolus sp. c,0.28,5,2,2,522
Lam2,Protobranchia,Nuculoida,Nuculoidea,Lametilidae,5.215023401,Prelametila,Prelametila clarkei,0.28,5,2,2,522
Lam3,Protobranchia,Nuculoida,Nuculoidea,Lametilidae,17.16322609,Lametila,Lametila abyssorum,0.28,5,2,2,522
Lam4,Protobranchia,Nuculoida,Nuculoidea,Lametilidae,9.945483,Phaseolus ,Phaseolus sp. a,0.28,5,2,2,522
Lam5,Protobranchia,Nuculoida,Nuculoidea,Lametilidae,9.945483,Phaseolus,Phaseolus sp. b,0.28,5,2,2,522
Lam6,Protobranchia,Nuculoida,Nuculoidea,Lametilidae,9.945483,Phaseolus,Phaseolus sp. d,0.28,5,2,2,522
Lam7,Protobranchia,Nuculoida,Nuculoidea,Lametilidae,5.215023401,Prelametila,Prelametila sp. 247,0.28,5,2,2,522
Las18,Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,20.77749603,Mysella,Mysella sp. 1,0.42,5,3,1,531
Las38,Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,10,Epilepton ,Epilepton elpis,0.42,5,3,1,531
Las47,Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,36.17041396,Mysella,Mysella ovata,0.42,5,3,1,531
Las51,Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,7.811555556,Mysella,Mysella tumidula,0.42,5,3,1,531
Las59,Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,10,Epilepton ,Epilepton subtrigonum,0.42,5,3,1,531
Las60,Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,10,Epilepton,Epilepton sp. 21,0.42,5,3,1,531
Las61,Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,88.752,Montacuta,Montacuta sp.,0.42,5,5,1,551
Las62,Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,88.752,Montacuta,Montacuta sp. 1,0.42,5,5,1,551
Las63,Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,25.78037318,Mysella,Mysella verrilli,0.42,5,3,1,531
Las64,Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,20.77749603,Mysella,Mysella sp. 2,0.42,5,3,1,531
Las65,Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,20.77749603,Mysella,Mysella sp. 3,0.42,5,3,1,531
Las66,Heterodonta,Veneroida,Galeommatoidea,Lasaeidae,10,Epilepton,Epilepton sp.,0.42,5,3,1,531
Lep1,Heterodonta,Veneroida,Galeommatoidea,Leptonidae,164.11,Leptonidae,Leptonidae sp. v,0.42,5,3,1,531
Lep2,Heterodonta,Veneroida,Galeommatoidea,Leptonidae,164.11,Leptonidae,Leptonidae sp. w,0.42,5,3,1,531
Lim110,Pteriomorphia,Arcoida,Limopsoidea,Limopsidae,3526.241933,Limopsis ,Limopsis surinamensis,0.26,3,3,1,331
Lim111,Pteriomorphia,Arcoida,Limopsoidea,Limopsidae,1202.364426,Limopsis,Limopsis minuta,0.26,3,3,1,331
Lim126,Pteriomorphia,Arcoida,Limopsoidea,Limopsidae,841.3938355,Limopsis,Limopsis sp. 239,0.26,3,3,1,331
Lim127,Pteriomorphia,Arcoida,Limopsoidea,Limopsidae,841.3938355,Limopsis,Limopsis sp.,0.26,3,3,1,331
Lim128,Pteriomorphia,Arcoida,Limopsoidea,Limopsidae,5528.528214,Limopsis ,Limopsis subovata,0.26,3,3,1,331
Lim13,Pteriomorphia,Arcoida,Limopsoidea,Limopsidae,102185.1206,Limopsis,Limopsis tenella,0.26,3,3,1,331
Lim16,Pteriomorphia,Arcoida,Limopsoidea,Limopsidae,3928.442398,Limopsis,Limopsis aurita,0.26,3,3,1,331
Lim17,Pteriomorphia,Arcoida,Limopsoidea,Limopsidae,1692.754156,Limopsis ,Limopsis cristata,0.26,3,3,1,331
Lim18,Pteriomorphia,Arcoida,Limopsoidea,Limopsidae,367.3065518,Limopsis ,Limopsis galathea,0.26,3,3,1,331
Lim19,Pteriomorphia,Arcoida,Limopsoidea,Limopsidae,393.7580796,Limopsis ,Limopsis spicata,0.26,3,3,1,331
Lim211,Pteriomorphia,Limoida,Limoidea,Limidae,40.84988107,Limatula,Limatula laminifera,0.52,3,2,1,321
Lim212,Pteriomorphia,Limoida,Limoidea,Limidae,396.3681616,Limatula,Limatula subovata,0.52,3,2,1,321
Lim213,Pteriomorphia,Limoida,Limoidea,Limidae,6.701296978,Limea ,Limea lirata,0.52,3,4,1,341
Lim214,Pteriomorphia,Limoida,Limoidea,Limidae,106.1931971,Limea,Limea sarsi,0.52,3,4,1,341
Lim217,Pteriomorphia,Limoida,Limoidea,Limidae,5.815681427,Limatula,Limatula louiseae,0.52,3,2,1,321
Lim218,Pteriomorphia,Limoida,Limoidea,Limidae,180.3921581,Limatula,Limatula margaretae,0.52,3,2,1,321
Lim219,Pteriomorphia,Limoida,Limoidea,Limidae,853.1899956,Limatula,Limatula smithi,0.52,3,2,1,321
Lim220,Pteriomorphia,Limoida,Limoidea,Limidae,117.1753306,Limatula,Limatula celtica,0.52,3,2,1,321
Lim223,Pteriomorphia,Limoida,Limoidea,Limidae,5.632045714,Limatula,Limatula bisecta,0.52,3,2,1,321
