Subclass,Order,Superfamily,Family,Species_ID,Biovolume_mm3,Genus,Species,B0 Order
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus47,101.4347265,Halonympha,Halonympha depressa,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus48,21.49506573,Halonympha ,Halonympha atlanta,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus26,25.88305346,Luzonia,Luzonia simplex,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus127,512.0614237,Myonera,Myonera angularis,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus135,168.0477913,Myonera,Myonera sp. 1,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus136,168.0477913,Myonera,Myonera sp. 2,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus137,168.0477913,Myonera,Myonera sp. 3,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus138,168.0477913,Myonera,Myonera sp. 5,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus16,1501.762354,Myonera,Myonera paucistriata,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus23,36.81522479,Myonera,Myonera atlantica,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus24,168.0477913,Myonera,Myonera sp.,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus42,232.7276789,Myonera,Myonera demistriata,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus43,34.09995432,Myonera,Myonera octaporosa,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus102,90.65054127,Protocuspidaria,Protocuspidaria sp. 256,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus103,90.65054127,Protocuspidaria,Protocuspidaria sp. ,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus139,50.1581557,Protocuspidaria,Protocuspidaria simplis,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus33,148.4556087,Protocuspidaria,Protocuspidaria verityi,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus140,41.42060451,Rhinoclama,Rhinoclama sp.,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus25,82.94653394,Rhinoclama,Rhinoclama notabilis,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus44,91.22424249,Rhinoclama,Rhinoclama abrupta,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus45,2.615560573,Rhinoclama,Rhinoclama halimera,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus141,25.58134438,Tropidomya,Tropidomya sp.,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus31,51.75969482,Tropidomya,Tropidomya abbreviata,0.42
Anomalodesmata,Septibranchida,Cuspidarioidea,Cuspidariidae,Cus46,10.13696076,Tropidomya,Tropidomya diagonalis,0.42
Anomalodesmata,Septibranchida,Poromyoidea,Poromyidae,Por28,5236.478306,Cetoconcha,Cetoconcha sp.,0.42
Anomalodesmata,Septibranchida,Poromyoidea,Poromyidae,Por9,5236.478306,Cetoconcha,Cetoconcha braziliensis,0.42
Anomalodesmata,Septibranchida,Poromyoidea,Poromyidae,Por25,405.3467493,Poromya,Poromya sp. 256,0.42
Anomalodesmata,Septibranchida,Poromyoidea,Poromyidae,Por26,405.3467493,Poromya,Poromya sp. 301,0.42
Anomalodesmata,Septibranchida,Poromyoidea,Poromyidae,Por27,405.3467493,Poromya,Poromya sp. 335,0.42
Anomalodesmata,Septibranchida,Poromyoidea,Poromyidae,Por29,405.3467493,Poromya,Poromya sp.,0.42
Anomalodesmata,Septibranchida,Poromyoidea,Poromyidae,Por7,74.41344592,Poromya ,Poromya granulata,0.42
Anomalodesmata,Septibranchida,Poromyoidea,Poromyidae,Por8,1184.85298,Poromya ,Poromya tornata,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver10,382.236996,Lyonsiella,Lyonsiella formosa,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver11,20.67408359,Lyonsiella,Lyonsiella subquadrata,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver14,82.85511212,Lyonsiella,Lyonsiella perplexa,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver15,50.09350762,Lyonsiella,Lyonsiella frielei,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver16,40.99716034,Lyonsiella,Lyonsiella smidti,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver17,526.9673873,Lyonsiella,Lyonsiella fragilis,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver58,144.2056934,Lyonsiella,Lyonsiella sp.,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver9,342.0165266,Lyonsiella,Lyonsiella abyssicola,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver46,144.2056934,Lyonsiella ,Lyonsiella sp. 239,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver13,79.25342058,Policordia,Policordia gemma,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver20,5626.029593,Policordia,Policordia densicostata,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver21,39.73676163,Policordia,Policordia atlantica,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver24,4.117758262,Policordia,Policordia laevis,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver52,2206.552835,Policordia,Policordia sp.,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver6,54680.28203,Policordia,Policordia jeffreysi,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver53,2206.552835,Policordia ,Policordia sp. 128,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver55,2206.552835,Policordia ,Policordia sp. 297,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver12,2572.768681,Verticordia,Verticordia triangularis,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver19,356.4309052,Verticordia,Verticordia quadrata,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver47,1123.737061,Verticordia,Verticordia sp. ,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver48,1123.737061,Verticordia,Verticordia sp. 88,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver49,1123.737061,Verticordia,Verticordia sp. 98,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver50,1123.737061,Verticordia,Verticordia sp. 240,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver51,1123.737061,Verticordia,Verticordia sp. 309,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver26,54216.37194,Halicardia ,Halicardia flexuosa,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae,Ver25,35.51900397,Laevicordia,Laevicordia horrida,0.42
Anomalodesmata,Septibranchida,Verticordioidea,Verticordiidae ,Ver57,35.51900397,Laevicordia,Laevicordia sp.,0.42
Heterodonta,Myoida,Myoidea,Corbulidae ,Cor219,1263.161657,Corbula,Corbula sp. 1,0.44
Heterodonta,Myoida,Myoidea,Corbulidae ,Cor220,1263.161657,Corbula,Corbula sp. 2,0.44
